2025-07-04 21:54:40 - INFO - Logging is set up.
2025-07-04 21:54:40 - INFO - 
======================================== New DDP Training Session Started ========================================
2025-07-04 21:54:40 - INFO - Using 2 GPUs for training.
2025-07-04 21:54:40 - INFO - Training configuration:
{
  "seed": 42,
  "epochs": 600,
  "batch_size": 2,
  "learning_rate": 0.0001,
  "log_path": "./result/VNet_Multi_V3/LA_8/Training.log",
  "pth_path": "./result/VNet_Multi_V3/LA_8/Pth",
  "tensorboard_path": "./result/VNet_Multi_V3/LA_8/Train",
  "continue_train": false,
  "dataset_path": "./datasets/LA",
  "num_classes": 2,
  "training_num": 8,
  "patch_size": [
    112,
    112,
    80
  ]
}
2025-07-04 21:54:40 - INFO - Ensured model and TensorBoard directories exist.
2025-07-04 21:54:40 - INFO - Process started on device: cuda:0 with seed 42.
2025-07-04 21:54:40 - INFO - TensorBoard writer initialized at: ./result/VNet_Multi_V3/LA_8/Train/20250704-215440
2025-07-04 21:54:40 - INFO - Initializing dataset...
2025-07-04 21:54:40 - INFO - Dataset contains 8 samples.
2025-07-04 21:54:40 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-04 21:54:40 - INFO - Initializing VNet model...
2025-07-04 21:54:41 - INFO - Logging is set up.
2025-07-04 21:54:41 - INFO - Process started on device: cuda:1 with seed 42.
2025-07-04 21:54:41 - INFO - Initializing dataset...
2025-07-04 21:54:41 - INFO - Dataset contains 8 samples.
2025-07-04 21:54:41 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-04 21:54:41 - INFO - Initializing VNet model...
2025-07-04 21:54:41 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-04 21:54:41 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-04 21:54:41 - INFO - Loss function: UnifiedLoss with λ_reg=0.3, weights=[1,1]
2025-07-04 21:54:41 - INFO - Optimizer: AdamW with LR=0.0001
2025-07-04 21:54:41 - INFO - Starting training from epoch 0 to 600...
2025-07-04 21:55:13 - INFO - Epoch 1 finished. Average Training Loss: 1.1824
2025-07-04 21:55:14 - INFO - Epoch 2 finished. Average Training Loss: 1.2057
2025-07-04 21:55:16 - INFO - Epoch 3 finished. Average Training Loss: 1.0013
2025-07-04 21:55:18 - INFO - Epoch 4 finished. Average Training Loss: 1.4345
2025-07-04 21:55:20 - INFO - Epoch 5 finished. Average Training Loss: 1.1520
2025-07-04 21:55:22 - INFO - Epoch 6 finished. Average Training Loss: 1.1299
2025-07-04 21:55:24 - INFO - Epoch 7 finished. Average Training Loss: 1.0823
2025-07-04 21:55:26 - INFO - Epoch 8 finished. Average Training Loss: 0.9980
2025-07-04 21:55:28 - INFO - Epoch 9 finished. Average Training Loss: 1.1118
2025-07-04 21:55:30 - INFO - Epoch 10 finished. Average Training Loss: 0.9741
2025-07-04 21:55:32 - INFO - Epoch 11 finished. Average Training Loss: 1.0558
2025-07-04 21:55:33 - INFO - Epoch 12 finished. Average Training Loss: 0.9651
2025-07-04 21:55:35 - INFO - Epoch 13 finished. Average Training Loss: 1.0474
2025-07-04 21:55:37 - INFO - Epoch 14 finished. Average Training Loss: 0.9338
2025-07-04 21:55:39 - INFO - Epoch 15 finished. Average Training Loss: 0.8407
2025-07-04 21:55:41 - INFO - Epoch 16 finished. Average Training Loss: 0.8497
2025-07-04 21:55:43 - INFO - Epoch 17 finished. Average Training Loss: 0.8473
2025-07-04 21:55:45 - INFO - Epoch 18 finished. Average Training Loss: 0.7728
2025-07-04 21:55:47 - INFO - Epoch 19 finished. Average Training Loss: 0.7699
2025-07-04 21:55:48 - INFO - Epoch 20 finished. Average Training Loss: 0.7023
2025-07-04 21:55:49 - INFO - Saved checkpoint for epoch 20 to ./result/VNet_Multi_V3/LA_8/Pth/model_epoch_20.pth
2025-07-04 21:55:51 - INFO - Epoch 21 finished. Average Training Loss: 0.7921
2025-07-04 21:55:53 - INFO - Epoch 22 finished. Average Training Loss: 0.8035
2025-07-04 21:55:55 - INFO - Epoch 23 finished. Average Training Loss: 0.7919
2025-07-04 21:55:57 - INFO - Epoch 24 finished. Average Training Loss: 0.6671
2025-07-04 21:55:58 - INFO - Epoch 25 finished. Average Training Loss: 0.8175
2025-07-04 21:56:00 - INFO - Epoch 26 finished. Average Training Loss: 0.6475
2025-07-04 21:56:03 - INFO - Epoch 27 finished. Average Training Loss: 0.7696
2025-07-04 21:56:04 - INFO - Epoch 28 finished. Average Training Loss: 0.5915
2025-07-04 21:56:06 - INFO - Epoch 29 finished. Average Training Loss: 0.6923
2025-07-04 21:56:08 - INFO - Epoch 30 finished. Average Training Loss: 0.6419
2025-07-04 21:56:10 - INFO - Epoch 31 finished. Average Training Loss: 0.6230
2025-07-04 21:56:12 - INFO - Epoch 32 finished. Average Training Loss: 0.6317
2025-07-04 21:56:14 - INFO - Epoch 33 finished. Average Training Loss: 0.7196
2025-07-04 21:56:16 - INFO - Epoch 34 finished. Average Training Loss: 0.6404
2025-07-04 21:56:17 - INFO - Epoch 35 finished. Average Training Loss: 0.5321
2025-07-04 21:56:19 - INFO - Epoch 36 finished. Average Training Loss: 0.5146
2025-07-04 21:56:22 - INFO - Epoch 37 finished. Average Training Loss: 0.5099
2025-07-04 21:56:23 - INFO - Epoch 38 finished. Average Training Loss: 0.4482
2025-07-04 21:56:25 - INFO - Epoch 39 finished. Average Training Loss: 0.5051
2025-07-04 21:56:27 - INFO - Epoch 40 finished. Average Training Loss: 0.5274
2025-07-04 21:56:27 - INFO - Saved checkpoint for epoch 40 to ./result/VNet_Multi_V3/LA_8/Pth/model_epoch_40.pth
2025-07-04 21:56:29 - INFO - Epoch 41 finished. Average Training Loss: 0.5542
2025-07-04 21:56:31 - INFO - Epoch 42 finished. Average Training Loss: 0.5206
2025-07-04 21:56:33 - INFO - Epoch 43 finished. Average Training Loss: 0.5439
2025-07-04 21:56:35 - INFO - Epoch 44 finished. Average Training Loss: 0.4302
2025-07-04 21:56:37 - INFO - Epoch 45 finished. Average Training Loss: 0.4823
2025-07-04 21:56:39 - INFO - Epoch 46 finished. Average Training Loss: 0.4508
2025-07-04 21:56:41 - INFO - Epoch 47 finished. Average Training Loss: 0.4182
2025-07-04 21:56:42 - INFO - Epoch 48 finished. Average Training Loss: 0.4414
2025-07-04 21:56:45 - INFO - Epoch 49 finished. Average Training Loss: 0.5438
2025-07-04 21:56:46 - INFO - Epoch 50 finished. Average Training Loss: 0.4685
2025-07-04 21:56:48 - INFO - Epoch 51 finished. Average Training Loss: 0.3606
2025-07-04 21:56:50 - INFO - Epoch 52 finished. Average Training Loss: 0.4676
2025-07-04 21:56:52 - INFO - Epoch 53 finished. Average Training Loss: 0.4031
2025-07-04 21:56:54 - INFO - Epoch 54 finished. Average Training Loss: 0.3721
2025-07-04 21:56:56 - INFO - Epoch 55 finished. Average Training Loss: 0.5654
2025-07-04 21:56:58 - INFO - Epoch 56 finished. Average Training Loss: 0.3923
2025-07-04 21:57:00 - INFO - Epoch 57 finished. Average Training Loss: 0.4541
2025-07-04 21:57:02 - INFO - Epoch 58 finished. Average Training Loss: 0.4096
2025-07-04 21:57:04 - INFO - Epoch 59 finished. Average Training Loss: 0.5444
2025-07-04 21:57:06 - INFO - Epoch 60 finished. Average Training Loss: 0.4376
2025-07-04 21:57:06 - INFO - Saved checkpoint for epoch 60 to ./result/VNet_Multi_V3/LA_8/Pth/model_epoch_60.pth
2025-07-04 21:57:08 - INFO - Epoch 61 finished. Average Training Loss: 0.3134
2025-07-04 21:57:10 - INFO - Epoch 62 finished. Average Training Loss: 0.4184
2025-07-04 21:57:11 - INFO - Epoch 63 finished. Average Training Loss: 0.4769
2025-07-04 21:57:13 - INFO - Epoch 64 finished. Average Training Loss: 0.4029
2025-07-04 21:57:16 - INFO - Epoch 65 finished. Average Training Loss: 0.4198
2025-07-04 21:57:17 - INFO - Epoch 66 finished. Average Training Loss: 0.4372
