2025-07-14 13:27:35 - INFO - Logging is set up.
2025-07-14 13:27:35 - INFO - 
======================================== New DDP Training Session Started ========================================
2025-07-14 13:27:35 - INFO - Using 2 GPUs for training.
2025-07-14 13:27:35 - INFO - Training configuration:
{
  "seed": 42,
  "epochs": 600,
  "batch_size": 2,
  "learning_rate": 0.0001,
  "log_path": "./result/VNet_Multi_V5/LA_8/Training.log",
  "pth_path": "./result/VNet_Multi_V5/LA_8/Pth",
  "tensorboard_path": "./result/VNet_Multi_V5/LA_8/Train",
  "continue_train": false,
  "dataset_path": "./datasets/LA",
  "num_classes": 2,
  "training_num": 8,
  "patch_size": [
    112,
    112,
    80
  ]
}
2025-07-14 13:27:35 - INFO - Ensured model and TensorBoard directories exist.
2025-07-14 13:27:35 - INFO - Process started on device: cuda:0 with seed 42.
2025-07-14 13:27:35 - INFO - TensorBoard writer initialized at: ./result/VNet_Multi_V5/LA_8/Train/20250714-132735
2025-07-14 13:27:35 - INFO - Initializing dataset...
2025-07-14 13:27:35 - INFO - Dataset contains 8 samples.
2025-07-14 13:27:35 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-14 13:27:35 - INFO - Initializing VNet model...
2025-07-14 13:27:35 - INFO - Logging is set up.
2025-07-14 13:27:35 - INFO - Process started on device: cuda:1 with seed 42.
2025-07-14 13:27:35 - INFO - Initializing dataset...
2025-07-14 13:27:35 - INFO - Dataset contains 8 samples.
2025-07-14 13:27:35 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-14 13:27:35 - INFO - Initializing VNet model...
2025-07-14 13:27:35 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-14 13:27:35 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-14 13:27:35 - INFO - Loss function: UnifiedLoss with λ_reg=0.3, weights=[1,1]
2025-07-14 13:27:35 - INFO - Optimizer: AdamW with LR=0.0001
2025-07-14 13:27:35 - INFO - Starting training from epoch 0 to 600...
2025-07-14 13:27:44 - INFO - Epoch 1 finished. Average Training Loss: 1.3338
2025-07-14 13:27:45 - INFO - Epoch 2 finished. Average Training Loss: 1.4448
2025-07-14 13:27:46 - INFO - Epoch 3 finished. Average Training Loss: 1.4241
2025-07-14 13:27:47 - INFO - Epoch 4 finished. Average Training Loss: 1.3446
2025-07-14 13:27:47 - INFO - Epoch 5 finished. Average Training Loss: 1.3340
2025-07-14 13:27:48 - INFO - Epoch 6 finished. Average Training Loss: 1.4807
2025-07-14 13:27:49 - INFO - Epoch 7 finished. Average Training Loss: 1.2791
2025-07-14 13:27:49 - INFO - Epoch 8 finished. Average Training Loss: 1.4571
2025-07-14 13:27:50 - INFO - Epoch 9 finished. Average Training Loss: 1.1251
2025-07-14 13:27:51 - INFO - Epoch 10 finished. Average Training Loss: 1.3135
2025-07-14 13:27:52 - INFO - Epoch 11 finished. Average Training Loss: 1.3422
2025-07-14 13:27:52 - INFO - Epoch 12 finished. Average Training Loss: 1.3588
2025-07-14 13:27:53 - INFO - Epoch 13 finished. Average Training Loss: 1.2604
2025-07-14 13:27:54 - INFO - Epoch 14 finished. Average Training Loss: 1.4552
2025-07-14 13:27:54 - INFO - Epoch 15 finished. Average Training Loss: 1.2589
2025-07-14 13:27:55 - INFO - Epoch 16 finished. Average Training Loss: 1.4715
2025-07-14 13:27:56 - INFO - Epoch 17 finished. Average Training Loss: 1.3253
2025-07-14 13:27:57 - INFO - Epoch 18 finished. Average Training Loss: 1.0557
2025-07-14 13:27:57 - INFO - Epoch 19 finished. Average Training Loss: 1.1520
2025-07-14 13:27:58 - INFO - Epoch 20 finished. Average Training Loss: 1.2062
2025-07-14 13:27:58 - INFO - Saved checkpoint for epoch 20 to ./result/VNet_Multi_V5/LA_8/Pth/model_epoch_20.pth
2025-07-14 13:27:59 - INFO - Epoch 21 finished. Average Training Loss: 1.1920
2025-07-14 13:28:00 - INFO - Epoch 22 finished. Average Training Loss: 1.0015
2025-07-14 13:28:00 - INFO - Epoch 23 finished. Average Training Loss: 1.0807
2025-07-14 13:28:01 - INFO - Epoch 24 finished. Average Training Loss: 1.2020
2025-07-14 13:28:02 - INFO - Epoch 25 finished. Average Training Loss: 1.0306
2025-07-14 13:28:03 - INFO - Epoch 26 finished. Average Training Loss: 0.9878
2025-07-14 13:28:03 - INFO - Epoch 27 finished. Average Training Loss: 1.1065
2025-07-14 13:28:04 - INFO - Epoch 28 finished. Average Training Loss: 1.3742
2025-07-14 13:28:05 - INFO - Epoch 29 finished. Average Training Loss: 1.1385
2025-07-14 13:28:06 - INFO - Epoch 30 finished. Average Training Loss: 1.2960
2025-07-14 13:28:06 - INFO - Epoch 31 finished. Average Training Loss: 1.0592
2025-07-14 13:28:07 - INFO - Epoch 32 finished. Average Training Loss: 1.1520
2025-07-14 13:28:08 - INFO - Epoch 33 finished. Average Training Loss: 1.0047
2025-07-14 13:28:09 - INFO - Epoch 34 finished. Average Training Loss: 0.9227
2025-07-14 13:28:09 - INFO - Epoch 35 finished. Average Training Loss: 0.8861
2025-07-14 13:28:10 - INFO - Epoch 36 finished. Average Training Loss: 0.9393
2025-07-14 13:28:11 - INFO - Epoch 37 finished. Average Training Loss: 1.0611
2025-07-14 13:28:12 - INFO - Epoch 38 finished. Average Training Loss: 1.0627
2025-07-14 13:28:12 - INFO - Epoch 39 finished. Average Training Loss: 0.8644
2025-07-14 13:28:13 - INFO - Epoch 40 finished. Average Training Loss: 0.8585
2025-07-14 13:28:13 - INFO - Saved checkpoint for epoch 40 to ./result/VNet_Multi_V5/LA_8/Pth/model_epoch_40.pth
2025-07-14 13:28:14 - INFO - Epoch 41 finished. Average Training Loss: 0.8504
2025-07-14 13:28:15 - INFO - Epoch 42 finished. Average Training Loss: 0.9393
2025-07-14 13:28:16 - INFO - Epoch 43 finished. Average Training Loss: 1.0047
2025-07-14 13:28:17 - INFO - Epoch 44 finished. Average Training Loss: 0.9867
2025-07-14 13:28:18 - INFO - Epoch 45 finished. Average Training Loss: 0.9484
2025-07-14 13:28:19 - INFO - Epoch 46 finished. Average Training Loss: 0.8858
2025-07-14 13:28:20 - INFO - Epoch 47 finished. Average Training Loss: 0.9214
2025-07-14 13:28:22 - INFO - Epoch 48 finished. Average Training Loss: 0.8745
2025-07-14 13:28:23 - INFO - Epoch 49 finished. Average Training Loss: 0.8658
2025-07-14 13:28:24 - INFO - Epoch 50 finished. Average Training Loss: 1.0671
2025-07-14 13:28:25 - INFO - Epoch 51 finished. Average Training Loss: 0.8166
2025-07-14 13:28:26 - INFO - Epoch 52 finished. Average Training Loss: 1.0126
2025-07-14 13:28:27 - INFO - Epoch 53 finished. Average Training Loss: 1.0115
2025-07-14 13:28:28 - INFO - Epoch 54 finished. Average Training Loss: 0.8006
2025-07-14 13:28:29 - INFO - Epoch 55 finished. Average Training Loss: 0.9138
2025-07-14 13:28:30 - INFO - Epoch 56 finished. Average Training Loss: 0.9361
2025-07-14 13:28:31 - INFO - Epoch 57 finished. Average Training Loss: 0.7788
2025-07-14 13:28:33 - INFO - Epoch 58 finished. Average Training Loss: 0.8834
2025-07-14 13:28:34 - INFO - Epoch 59 finished. Average Training Loss: 0.7868
2025-07-14 13:28:35 - INFO - Epoch 60 finished. Average Training Loss: 0.7796
2025-07-14 13:28:35 - INFO - Saved checkpoint for epoch 60 to ./result/VNet_Multi_V5/LA_8/Pth/model_epoch_60.pth
2025-07-14 13:28:36 - INFO - Epoch 61 finished. Average Training Loss: 0.8133
2025-07-14 13:28:37 - INFO - Epoch 62 finished. Average Training Loss: 0.9035
2025-07-14 13:28:38 - INFO - Epoch 63 finished. Average Training Loss: 0.8667
2025-07-14 13:28:39 - INFO - Epoch 64 finished. Average Training Loss: 0.7644
2025-07-14 13:28:40 - INFO - Epoch 65 finished. Average Training Loss: 0.9496
2025-07-14 13:28:42 - INFO - Epoch 66 finished. Average Training Loss: 0.6922
2025-07-14 13:28:43 - INFO - Epoch 67 finished. Average Training Loss: 0.7847
2025-07-14 13:28:44 - INFO - Epoch 68 finished. Average Training Loss: 0.6891
2025-07-14 13:28:45 - INFO - Epoch 69 finished. Average Training Loss: 0.7126
2025-07-14 13:28:46 - INFO - Epoch 70 finished. Average Training Loss: 0.7816
2025-07-14 13:28:47 - INFO - Epoch 71 finished. Average Training Loss: 0.8158
2025-07-14 13:28:48 - INFO - Epoch 72 finished. Average Training Loss: 0.9684
2025-07-14 13:28:50 - INFO - Epoch 73 finished. Average Training Loss: 0.8614
2025-07-14 13:28:51 - INFO - Epoch 74 finished. Average Training Loss: 0.9008
2025-07-14 13:28:52 - INFO - Epoch 75 finished. Average Training Loss: 0.5939
2025-07-14 13:28:53 - INFO - Epoch 76 finished. Average Training Loss: 0.7139
2025-07-14 13:28:54 - INFO - Epoch 77 finished. Average Training Loss: 0.8169
2025-07-14 13:28:55 - INFO - Epoch 78 finished. Average Training Loss: 0.7193
2025-07-14 13:28:57 - INFO - Epoch 79 finished. Average Training Loss: 0.7521
2025-07-14 13:28:58 - INFO - Epoch 80 finished. Average Training Loss: 0.9402
2025-07-14 13:28:59 - INFO - Saved checkpoint for epoch 80 to ./result/VNet_Multi_V5/LA_8/Pth/model_epoch_80.pth
2025-07-14 13:29:00 - INFO - Epoch 81 finished. Average Training Loss: 0.8988
2025-07-14 13:29:02 - INFO - Epoch 82 finished. Average Training Loss: 0.7237
2025-07-14 13:29:03 - INFO - Epoch 83 finished. Average Training Loss: 0.7079
2025-07-14 13:29:05 - INFO - Epoch 84 finished. Average Training Loss: 0.7456
2025-07-14 13:29:06 - INFO - Epoch 85 finished. Average Training Loss: 0.8338
2025-07-14 13:29:08 - INFO - Epoch 86 finished. Average Training Loss: 0.7000
2025-07-14 13:29:09 - INFO - Epoch 87 finished. Average Training Loss: 0.6901
2025-07-14 13:29:11 - INFO - Epoch 88 finished. Average Training Loss: 0.8116
2025-07-14 13:29:12 - INFO - Epoch 89 finished. Average Training Loss: 0.6953
2025-07-14 13:29:14 - INFO - Epoch 90 finished. Average Training Loss: 0.8526
2025-07-14 13:29:15 - INFO - Epoch 91 finished. Average Training Loss: 0.9898
2025-07-14 13:29:16 - INFO - Epoch 92 finished. Average Training Loss: 0.7414
