2025-06-29 10:42:06 - INFO - Logging is set up.
2025-06-29 10:42:06 - INFO - 
======================================== New Training Session ========================================
2025-06-29 10:42:06 - INFO - Configuration:
{
    "seed": 21,
    "epochs": 400,
    "batch_size": 4,
    "learning_rate": 0.001,
    "log_path": "./result/VNet_Multi_V2/LA_16/Training.log",
    "pth_path": "./result/VNet_Multi_V2/LA_16/Pth",
    "tensorboard_path": "./result/VNet_Multi_V2/LA_16/Train",
    "continue_train": false,
    "multi_gpu": true,
    "training_num": 16,
    "dataset_name": "LA",
    "dataset_path": "./datasets/LA",
    "num_classes": 2,
    "patch_size": [
        112,
        112,
        80
    ]
}
2025-06-29 10:42:06 - INFO - TensorBoard logging directory: ./result/VNet_Multi_V2/LA_16/Train/20250629-104206
2025-06-29 10:42:06 - INFO - Training dataset: 16
2025-06-29 10:42:07 - INFO - Optimizer: AdamW with parameters: {'lr': 0.0001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.01, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': True}
2025-06-29 10:42:07 - INFO - Using Unified Uncertainty-aware Loss with λ=0.3, α=1, β=1
2025-06-29 10:42:12 - INFO - Epoch 1/400, Batch 4/4, Loss: 1.4403
2025-06-29 10:42:14 - INFO - Epoch 2/400, Batch 4/4, Loss: 1.5703
2025-06-29 10:42:15 - INFO - Epoch 3/400, Batch 4/4, Loss: 1.0097
2025-06-29 10:42:17 - INFO - Epoch 4/400, Batch 4/4, Loss: 1.0067
2025-06-29 10:42:18 - INFO - Epoch 5/400, Batch 4/4, Loss: 1.2021
2025-06-29 10:42:20 - INFO - Epoch 6/400, Batch 4/4, Loss: 1.2332
2025-06-29 10:42:21 - INFO - Epoch 7/400, Batch 4/4, Loss: 1.4806
2025-06-29 10:42:23 - INFO - Epoch 8/400, Batch 4/4, Loss: 1.3598
2025-06-29 10:42:24 - INFO - Epoch 9/400, Batch 4/4, Loss: 1.0936
2025-06-29 10:42:26 - INFO - Epoch 10/400, Batch 4/4, Loss: 1.0823
2025-06-29 10:42:27 - INFO - Epoch 11/400, Batch 4/4, Loss: 1.1717
2025-06-29 10:42:29 - INFO - Epoch 12/400, Batch 4/4, Loss: 0.9085
2025-06-29 10:42:30 - INFO - Epoch 13/400, Batch 4/4, Loss: 1.1559
2025-06-29 10:42:32 - INFO - Epoch 14/400, Batch 4/4, Loss: 1.1244
2025-06-29 10:42:33 - INFO - Epoch 15/400, Batch 4/4, Loss: 1.0789
2025-06-29 10:42:35 - INFO - Epoch 16/400, Batch 4/4, Loss: 0.9991
2025-06-29 10:42:36 - INFO - Epoch 17/400, Batch 4/4, Loss: 0.8080
2025-06-29 10:42:38 - INFO - Epoch 18/400, Batch 4/4, Loss: 0.8956
2025-06-29 10:42:39 - INFO - Epoch 19/400, Batch 4/4, Loss: 0.7304
