2025-04-23 22:43:43 - INFO - Logging is set up.
2025-04-23 22:43:43 - INFO - TensorBoard logging directory: ./result/SAM3D_VNet_SSL/LA_16_Supervised_V2/Train/20250423-224343
2025-04-23 22:43:43 - INFO - Training dataset: 16
2025-04-23 22:43:44 - INFO - Optimizer: AdamW with parameters: {'lr': 0.0001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.01, 'amsgrad': False, 'foreach': None, 'maximize': False, 'capturable': False, 'differentiable': False, 'fused': None}
2025-04-23 22:43:44 - INFO - Using CeDiceLoss 1.4:0.6
2025-04-23 22:43:49 - INFO - Epoch 1/1000, Batch 4/4, Loss: 0.8965
2025-04-23 22:43:53 - INFO - Epoch 2/1000, Batch 4/4, Loss: 0.8291
2025-04-23 22:43:57 - INFO - Epoch 3/1000, Batch 4/4, Loss: 0.6817
2025-04-23 22:44:01 - INFO - Epoch 4/1000, Batch 4/4, Loss: 0.7495
2025-04-23 22:44:05 - INFO - Epoch 5/1000, Batch 4/4, Loss: 0.6344
2025-04-23 22:44:10 - INFO - Epoch 6/1000, Batch 4/4, Loss: 0.5541
2025-04-23 22:44:14 - INFO - Epoch 7/1000, Batch 4/4, Loss: 0.5202
2025-04-23 22:44:18 - INFO - Epoch 8/1000, Batch 4/4, Loss: 0.5663
2025-04-23 22:44:22 - INFO - Epoch 9/1000, Batch 4/4, Loss: 0.6428
2025-04-23 22:44:26 - INFO - Epoch 10/1000, Batch 4/4, Loss: 0.6450
2025-04-23 22:44:29 - INFO - Epoch 11/1000, Batch 4/4, Loss: 0.6244
2025-04-23 22:44:33 - INFO - Epoch 12/1000, Batch 4/4, Loss: 0.4891
2025-04-23 22:44:37 - INFO - Epoch 13/1000, Batch 4/4, Loss: 0.5253
2025-04-23 22:44:41 - INFO - Epoch 14/1000, Batch 4/4, Loss: 0.5036
2025-04-23 22:44:45 - INFO - Epoch 15/1000, Batch 4/4, Loss: 0.5562
2025-04-23 22:44:49 - INFO - Epoch 16/1000, Batch 4/4, Loss: 0.4451
2025-04-23 22:44:53 - INFO - Epoch 17/1000, Batch 4/4, Loss: 0.4453
2025-04-23 22:44:57 - INFO - Epoch 18/1000, Batch 4/4, Loss: 0.6259
2025-04-23 22:45:01 - INFO - Epoch 19/1000, Batch 4/4, Loss: 0.4412
2025-04-23 22:45:04 - INFO - Epoch 20/1000, Batch 4/4, Loss: 0.3627
2025-04-23 22:45:04 - INFO - Created directory: ./result/SAM3D_VNet_SSL/LA_16_Supervised_V2/Pth
2025-04-23 22:45:05 - INFO - Saved checkpoint at epoch 20 at ./result/SAM3D_VNet_SSL/LA_16_Supervised_V2/Pth/model_epoch_20_checkpoint.pth
2025-04-23 22:45:09 - INFO - Epoch 21/1000, Batch 4/4, Loss: 0.4584
2025-04-23 22:45:13 - INFO - Epoch 22/1000, Batch 4/4, Loss: 0.4888
2025-04-23 22:45:17 - INFO - Epoch 23/1000, Batch 4/4, Loss: 0.4004
2025-04-23 22:45:21 - INFO - Epoch 24/1000, Batch 4/4, Loss: 0.3871
2025-04-23 22:45:25 - INFO - Epoch 25/1000, Batch 4/4, Loss: 0.4345
