2025-06-29 10:43:27 - INFO - Logging is set up.
2025-06-29 10:43:27 - INFO - 
======================================== New Training Session ========================================
2025-06-29 10:43:27 - INFO - Configuration:
{
    "seed": 21,
    "epochs": 400,
    "batch_size": 4,
    "learning_rate": 0.001,
    "log_path": "./result/VNet_Multi_V2/LA_8/Training.log",
    "pth_path": "./result/VNet_Multi_V2/LA_8/Pth",
    "tensorboard_path": "./result/VNet_Multi_V2/LA_8/Train",
    "continue_train": false,
    "multi_gpu": true,
    "training_num": 8,
    "dataset_name": "LA",
    "dataset_path": "./datasets/LA",
    "num_classes": 2,
    "patch_size": [
        112,
        112,
        80
    ]
}
2025-06-29 10:43:27 - INFO - TensorBoard logging directory: ./result/VNet_Multi_V2/LA_8/Train/20250629-104327
2025-06-29 10:43:27 - INFO - Training dataset: 8
2025-06-29 10:43:27 - INFO - Optimizer: AdamW with parameters: {'lr': 0.0001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.01, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': True}
2025-06-29 10:43:27 - INFO - Using Unified Uncertainty-aware Loss with λ=0.3, α=1, β=1
2025-06-29 10:43:30 - INFO - Epoch 1/400, Batch 2/2, Loss: 1.2377
2025-06-29 10:43:31 - INFO - Epoch 2/400, Batch 2/2, Loss: 1.1386
2025-06-29 10:43:32 - INFO - Epoch 3/400, Batch 2/2, Loss: 1.0977
2025-06-29 10:43:33 - INFO - Epoch 4/400, Batch 2/2, Loss: 1.2366
2025-06-29 10:43:35 - INFO - Epoch 5/400, Batch 2/2, Loss: 1.1026
2025-06-29 10:43:36 - INFO - Epoch 6/400, Batch 2/2, Loss: 0.9919
2025-06-29 10:43:37 - INFO - Epoch 7/400, Batch 2/2, Loss: 1.1131
2025-06-29 10:43:38 - INFO - Epoch 8/400, Batch 2/2, Loss: 1.0678
2025-06-29 10:43:40 - INFO - Epoch 9/400, Batch 2/2, Loss: 1.0698
2025-06-29 10:43:41 - INFO - Epoch 10/400, Batch 2/2, Loss: 0.9673
2025-06-29 10:43:42 - INFO - Epoch 11/400, Batch 2/2, Loss: 1.0041
2025-06-29 10:43:43 - INFO - Epoch 12/400, Batch 2/2, Loss: 1.0038
2025-06-29 10:43:44 - INFO - Epoch 13/400, Batch 2/2, Loss: 1.0298
2025-06-29 10:43:46 - INFO - Epoch 14/400, Batch 2/2, Loss: 1.0908
2025-06-29 10:43:47 - INFO - Epoch 15/400, Batch 2/2, Loss: 1.0016
2025-06-29 10:43:48 - INFO - Epoch 16/400, Batch 2/2, Loss: 1.0043
2025-06-29 10:43:49 - INFO - Epoch 17/400, Batch 2/2, Loss: 1.0039
2025-06-29 10:43:51 - INFO - Epoch 18/400, Batch 2/2, Loss: 1.0128
2025-06-29 10:43:52 - INFO - Epoch 19/400, Batch 2/2, Loss: 0.9750
2025-06-29 10:43:53 - INFO - Epoch 20/400, Batch 2/2, Loss: 0.9605
2025-06-29 10:43:53 - INFO - Created directory: ./result/VNet_Multi_V2/LA_8/Pth
2025-06-29 10:43:53 - INFO - Saved checkpoint at epoch 20 at ./result/VNet_Multi_V2/LA_8/Pth/model_epoch_20_checkpoint.pth
2025-06-29 10:43:54 - INFO - Epoch 21/400, Batch 2/2, Loss: 0.9560
2025-06-29 10:43:56 - INFO - Epoch 22/400, Batch 2/2, Loss: 0.9268
2025-06-29 10:43:57 - INFO - Epoch 23/400, Batch 2/2, Loss: 0.9705
2025-06-29 10:43:58 - INFO - Epoch 24/400, Batch 2/2, Loss: 0.8833
2025-06-29 10:43:59 - INFO - Epoch 25/400, Batch 2/2, Loss: 0.9529
